Week_Start,Category,Units_Sold,Unit_Price_EUR,Revenue_EUR,Stock_Start,Stock_End,Supplier_Delay_Days,Demand_Spike,Out_of_Stock,Notes
2019-02-18,Adult Dry Cough Syrup,22,7.0,154.0,26,6,1.3,No,No,
2019-02-18,Children's Productive Cough Syrup,11,6.03,66.33,18,9,0.4,No,No,
2019-02-18,Children's Dry Cough Syrup,15,6.49,97.35,19,7,0,No,No,
2019-02-18,Cough Lozenges,32,3.31,105.92,51,27,0.7,No,No,
2019-02-18,Antibiotic Prescriptions,13,8.79,114.27,17,6,1.5,No,No,
2019-02-18,Vitamins & Supplements,17,11.58,196.86,20,5,1.6,No,No,
2019-02-18,Simple Masks,9,0.64,5.76,12,3,0.5,No,No,
2019-02-18,KN95/FFP2 Masks,6,1.35,8.1,7,1,1.0,No,Yes,
2019-02-18,Antiseptic / Alcohol,8,4.04,32.32,11,5,0.7,No,No,
2019-02-18,Hand Gloves,7,5.69,39.83,8,1,1.0,No,Yes,
2019-02-18,COVID Self Tests,0,4.79,0.0,3,4,0,No,No,
2019-02-18,Pharmacy COVID Test Service,0,15.49,0.0,3,3,1.7,No,No,
2019-02-25,Adult Productive Cough Syrup,18,6.98,125.64,25,11,1.8,No,No,
2019-02-25,Adult Dry Cough Syrup,16,7.04,112.64,20,7,0,No,No,
2019-02-25,Children's Productive Cough Syrup,11,6.09,66.99,14,4,1.0,No,No,
2019-02-25,Children's Dry Cough Syrup,12,6.42,77.04,17,5,0.7,No,No,
2019-02-25,Cough Lozenges,37,3.2,118.4,56,27,1.0,No,No,
2019-02-25,Antibiotic Prescriptions,16,8.55,136.8,17,2,0,No,No,
2019-02-25,Vitamins & Supplements,30,11.06,331.8,37,9,0.9,No,No,
2019-02-25,Simple Masks,10,0.66,6.6,15,6,1.5,No,No,
2019-02-25,KN95/FFP2 Masks,8,1.36,10.88,11,4,0.3,No,No,
2019-02-25,Antiseptic / Alcohol,11,4.12,45.32,15,6,1.1,No,No,
2019-02-25,Hand Gloves,2,5.7,11.4,3,1,2.0,No,No,
2019-02-25,COVID Self Tests,1,4.66,4.66,3,2,0.6,Yes,No,COVID-related demand spike
2019-02-25,Pharmacy COVID Test Service,0,15.16,0.0,3,3,0.7,No,No,
2019-03-04,Adult Productive Cough Syrup,29,7.09,205.61,42,17,0.8,No,No,
2019-03-04,Adult Dry Cough Syrup,18,7.11,127.98,29,12,1.0,No,No,
2019-03-04,Children's Productive Cough Syrup,11,5.71,62.81,13,3,0.4,No,No,
2019-03-04,Children's Dry Cough Syrup,14,6.41,89.74,17,5,0.9,No,No,
2019-03-04,Cough Lozenges,25,3.2,80.0,26,1,0.8,No,No,
2019-03-04,Antibiotic Prescriptions,18,8.9,160.2,26,9,0.1,No,No,
2019-03-04,Vitamins & Supplements,19,11.33,215.27,24,8,0.4,No,No,
2019-03-04,Simple Masks,10,0.68,6.8,16,7,0.4,No,No,
2019-03-04,KN95/FFP2 Masks,7,1.33,9.31,9,2,1.3,No,No,
2019-03-04,Antiseptic / Alcohol,8,4.18,33.44,10,4,0.2,No,No,
2019-03-04,Hand Gloves,6,5.34,32.04,8,2,0.7,No,No,
2019-03-04,COVID Self Tests,1,4.78,4.78,3,2,1.7,Yes,No,COVID-related demand spike
2019-03-04,Pharmacy COVID Test Service,0,15.39,0.0,3,3,0,No,No,
2019-03-11,Adult Productive Cough Syrup,24,7.03,168.72,26,6,1.1,No,No,
2019-03-11,Adult Dry Cough Syrup,20,7.29,145.8,30,14,0.8,No,No,
2019-03-11,Children's Productive Cough Syrup,10,6.05,60.5,12,2,1.4,No,Yes,
2019-03-11,Children's Dry Cough Syrup,11,6.08,66.88,17,8,1.6,No,No,
2019-03-11,Cough Lozenges,37,3.35,123.95,56,19,0.7,No,No,
2019-03-11,Antibiotic Prescriptions,16,8.41,134.56,22,10,1.0,No,No,
2019-03-11,Vitamins & Supplements,29,11.64,337.56,39,10,0.5,No,No,
2019-03-11,Simple Masks,12,0.65,7.8,20,11,0.7,No,No,
2019-03-11,KN95/FFP2 Masks,6,1.32,7.92,7,2,1.1,No,No,
2019-03-11,Antiseptic / Alcohol,7,4.04,28.28,9,3,1.2,No,No,
2019-03-11,Hand Gloves,5,5.6,28.0,6,2,0.3,No,No,
2019-03-11,COVID Self Tests,0,4.92,0.0,3,3,0.7,No,No,
2019-03-11,Pharmacy COVID Test Service,0,14.81,0.0,3,3,0.8,No,No,
2019-03-18,Adult Productive Cough Syrup,20,6.84,136.8,30,12,0.7,No,No,
2019-03-18,Adult Dry Cough Syrup,24,6.86,164.64,25,2,1.1,No,No,
2019-03-18,Children's Productive Cough Syrup,16,6.03,96.48,24,11,1.9,No,No,
2019-03-18,Children's Dry Cough Syrup,13,5.96,77.48,14,2,0.9,No,No,
2019-03-18,Cough Lozenges,33,3.31,109.23,46,19,0,No,No,
2019-03-18,Antibiotic Prescriptions,24,8.64,207.36,35,16,0.5,No,No,
2019-03-18,Vitamins & Supplements,30,11.63,348.9,49,22,0.3,No,No,
2019-03-18,Simple Masks,14,0.65,9.1,14,1,0.4,No,No,
2019-03-18,KN95/FFP2 Masks,6,1.31,7.86,6,1,0.9,No,No,
2019-03-18,Antiseptic / Alcohol,6,4.04,24.24,7,1,0.5,No,No,
2019-03-18,Hand Gloves,5,5.68,28.4,8,4,1.0,No,No,
2019-03-18,COVID Self Tests,1,4.68,4.68,3,2,0.4,Yes,No,COVID-related demand spike
2019-03-18,Pharmacy COVID Test Service,2,14.77,29.54,3,1,1.3,Yes,No,
2019-03-25,Adult Productive Cough Syrup,18,7.1,127.8,22,4,0.2,No,No,
2019-03-25,Adult Dry Cough Syrup,21,6.89,144.69,25,6,0.4,No,No,
2019-03-25,Children's Productive Cough Syrup,21,6.11,128.31,29,10,1.1,Yes,No,
2019-03-25,Children's Dry Cough Syrup,16,6.14,98.24,24,9,0.9,No,No,
2019-03-25,Cough Lozenges,30,3.36,100.8,41,13,1.6,No,No,
2019-03-25,Antibiotic Prescriptions,13,8.18,106.34,15,2,0,No,No,
2019-03-25,Vitamins & Supplements,28,11.89,332.92,29,1,0.4,No,No,
2019-03-25,Simple Masks,8,0.63,5.04,10,3,0.5,No,No,
2019-03-25,KN95/FFP2 Masks,7,1.33,9.31,11,5,0.6,No,No,
2019-03-25,Antiseptic / Alcohol,8,4.11,32.88,10,2,0.2,No,Yes,
2019-03-25,Hand Gloves,6,5.45,32.7,9,4,0.4,No,No,
2019-03-25,COVID Self Tests,0,4.81,0.0,3,3,0.9,No,No,
2019-03-25,Pharmacy COVID Test Service,0,15.38,0.0,3,3,1.2,No,No,
2019-04-01,Adult Productive Cough Syrup,15,6.87,103.05,20,8,1.0,No,No,
2019-04-01,Adult Dry Cough Syrup,19,7.41,140.79,26,7,0.2,No,No,
2019-04-01,Children's Productive Cough Syrup,10,5.72,57.2,14,6,0.6,No,No,
2019-04-01,Children's Dry Cough Syrup,10,6.36,63.6,13,3,0.4,No,No,
2019-04-01,Cough Lozenges,23,3.18,73.14,30,8,0.1,No,No,
2019-04-01,Antibiotic Prescriptions,13,8.32,108.16,20,8,0.4,No,No,
2019-04-01,Vitamins & Supplements,16,11.55,184.8,23,9,0.4,No,No,
2019-04-01,Simple Masks,11,0.66,7.26,18,8,0.8,No,No,
2019-04-01,KN95/FFP2 Masks,7,1.35,9.45,11,6,0.9,No,No,
2019-04-01,Antiseptic / Alcohol,8,4.29,34.32,10,3,0.7,No,No,
2019-04-01,Hand Gloves,5,5.69,28.45,5,1,0,No,No,
2019-04-01,COVID Self Tests,0,4.74,0.0,3,3,0.3,No,No,
2019-04-01,Pharmacy COVID Test Service,0,14.5,0.0,3,3,0.8,No,No,
2019-04-08,Adult Productive Cough Syrup,20,6.94,138.8,30,10,0.6,No,No,
2019-04-08,Adult Dry Cough Syrup,13,6.87,89.31,15,4,0.7,No,No,
2019-04-08,Children's Productive Cough Syrup,10,5.82,58.2,12,2,0.5,No,No,
2019-04-08,Children's Dry Cough Syrup,7,6.49,45.43,8,2,1.4,No,No,
2019-04-08,Cough Lozenges,33,3.26,107.58,49,19,0.6,No,No,
2019-04-08,Antibiotic Prescriptions,15,8.18,122.7,24,13,1.0,No,No,
2019-04-08,Vitamins & Supplements,20,11.14,222.8,29,14,0.5,No,No,
2019-04-08,Simple Masks,8,0.64,5.12,9,2,0.4,No,No,
2019-04-08,KN95/FFP2 Masks,6,1.33,7.98,8,3,0.1,No,No,
2019-04-08,Antiseptic / Alcohol,7,4.22,29.54,9,3,1.3,No,No,
2019-04-08,Hand Gloves,3,5.49,16.47,4,1,0.6,No,No,
2019-04-08,COVID Self Tests,0,5.02,0.0,3,3,1.7,No,No,
2019-04-08,Pharmacy COVID Test Service,1,14.46,14.46,3,2,0,Yes,No,
2019-04-15,Adult Productive Cough Syrup,17,7.08,120.36,21,7,0.9,No,No,
2019-04-15,Adult Dry Cough Syrup,16,7.0,112.0,22,7,1.6,No,No,
2019-04-15,Children's Productive Cough Syrup,8,5.75,46.0,10,3,1.3,No,No,
2019-04-15,Children's Dry Cough Syrup,8,6.09,48.72,9,2,1.1,No,No,
2019-04-15,Cough Lozenges,25,3.36,84.0,27,2,0.5,No,No,
2019-04-15,Antibiotic Prescriptions,11,8.46,93.06,13,4,1.3,No,No,
2019-04-15,Vitamins & Supplements,23,11.62,267.26,29,10,0.6,No,No,
2019-04-15,Simple Masks,9,0.63,5.67,11,3,1.3,No,No,
2019-04-15,KN95/FFP2 Masks,6,1.31,7.86,6,1,0.7,No,No,
2019-04-15,Antiseptic / Alcohol,5,4.23,21.15,6,2,0.5,No,No,
2019-04-15,Hand Gloves,5,5.38,26.9,7,3,1.3,No,No,
2019-04-15,COVID Self Tests,1,4.92,4.92,3,2,1.1,Yes,No,COVID-related demand spike
2019-04-15,Pharmacy COVID Test Service,0,14.47,0.0,3,3,1.6,No,No,
2019-04-22,Adult Productive Cough Syrup,15,6.76,101.4,21,7,1.8,No,No,
2019-04-22,Adult Dry Cough Syrup,15,7.14,107.1,21,8,0.2,No,No,
2019-04-22,Children's Productive Cough Syrup,9,6.03,54.27,10,1,0.7,No,No,
2019-04-22,Children's Dry Cough Syrup,11,6.17,67.87,16,6,1.0,No,No,
2019-04-22,Cough Lozenges,26,3.29,85.54,35,11,0.2,No,No,
2019-04-22,Antibiotic Prescriptions,13,8.3,107.9,14,3,0,No,No,
2019-04-22,Vitamins & Supplements,14,11.51,161.14,18,6,0.8,No,No,
2019-04-22,Simple Masks,8,0.66,5.28,13,5,1.3,No,No,
2019-04-22,KN95/FFP2 Masks,7,1.36,9.52,9,2,0.9,No,No,
2019-04-22,Antiseptic / Alcohol,6,4.1,24.6,9,3,1.0,No,No,
2019-04-22,Hand Gloves,5,5.5,27.5,6,2,1.6,No,No,
2019-04-22,COVID Self Tests,0,4.87,0.0,3,3,0.7,No,No,
2019-04-22,Pharmacy COVID Test Service,1,15.01,15.01,3,2,0.8,Yes,No,
2019-04-29,Adult Productive Cough Syrup,14,6.78,94.92,17,4,0.7,No,No,
2019-04-29,Adult Dry Cough Syrup,19,7.19,136.61,28,12,0.8,No,No,
2019-04-29,Children's Productive Cough Syrup,8,6.0,48.0,10,3,0,No,No,
2019-04-29,Children's Dry Cough Syrup,10,6.37,63.7,13,5,1.5,No,No,
2019-04-29,Cough Lozenges,22,3.35,73.7,29,7,0,No,No,
2019-04-29,Antibiotic Prescriptions,10,8.79,87.9,11,2,1.1,No,No,
2019-04-29,Vitamins & Supplements,15,11.61,174.15,20,7,1.1,No,No,
2019-04-29,Simple Masks,7,0.65,4.55,9,3,0.4,No,No,
2019-04-29,KN95/FFP2 Masks,7,1.33,9.31,10,4,0.6,No,No,
2019-04-29,Antiseptic / Alcohol,10,4.04,40.4,12,4,1.1,No,No,
2019-04-29,Hand Gloves,3,5.4,16.2,4,2,1.8,No,No,
2019-04-29,COVID Self Tests,0,4.77,0.0,3,3,1.5,No,No,
2019-04-29,Pharmacy COVID Test Service,0,14.77,0.0,3,3,0.5,No,No,
2019-05-06,Adult Productive Cough Syrup,18,7.01,126.18,21,5,1.1,No,No,
2019-05-06,Adult Dry Cough Syrup,10,7.45,74.5,13,5,0.5,No,No,
2019-05-06,Children's Productive Cough Syrup,13,5.73,74.49,18,7,0.4,No,No,
2019-05-06,Children's Dry Cough Syrup,8,6.17,49.36,10,3,0.2,No,No,
2019-05-06,Cough Lozenges,19,3.25,61.75,26,11,0.7,No,No,
2019-05-06,Antibiotic Prescriptions,13,8.82,114.66,15,2,0.5,No,No,
2019-05-06,Vitamins & Supplements,12,11.41,136.92,15,5,1.0,No,No,
2019-05-06,Simple Masks,11,0.64,7.04,15,5,1.2,No,No,
2019-05-06,KN95/FFP2 Masks,7,1.31,9.17,11,5,1.8,No,No,
2019-05-06,Antiseptic / Alcohol,7,4.21,29.47,11,5,1.3,No,No,
2019-05-06,Hand Gloves,2,5.32,10.64,3,1,0.6,No,No,
2019-05-06,COVID Self Tests,0,5.03,0.0,3,3,1.0,No,No,
2019-05-06,Pharmacy COVID Test Service,0,15.53,0.0,3,3,2.2,No,No,
2019-05-13,Adult Productive Cough Syrup,15,7.05,105.75,23,11,0.9,No,No,
2019-05-13,Adult Dry Cough Syrup,20,7.39,147.8,32,18,1.8,No,No,
2019-05-13,Children's Productive Cough Syrup,8,5.81,46.48,12,5,1.6,No,No,
2019-05-13,Children's Dry Cough Syrup,7,6.51,45.57,10,4,1.0,No,No,
2019-05-13,Cough Lozenges,27,3.34,90.18,37,14,1.3,No,No,
2019-05-13,Antibiotic Prescriptions,16,8.79,140.64,21,8,0.7,No,No,
2019-05-13,Vitamins & Supplements,22,11.59,254.98,23,2,0,No,No,
2019-05-13,Simple Masks,11,0.65,7.15,17,8,1.3,No,No,
2019-05-13,KN95/FFP2 Masks,9,1.41,12.69,11,4,0.7,No,No,
2019-05-13,Antiseptic / Alcohol,8,4.16,33.28,12,6,1.5,No,No,
2019-05-13,Hand Gloves,1,5.39,5.39,3,2,1.2,No,Yes,
2019-05-13,COVID Self Tests,1,4.95,4.95,3,2,1.1,Yes,No,COVID-related demand spike
2019-05-13,Pharmacy COVID Test Service,1,15.48,15.48,3,2,0.5,Yes,No,
2019-05-20,Adult Productive Cough Syrup,20,7.08,141.6,21,4,0.3,No,No,
2019-05-20,Adult Dry Cough Syrup,12,6.91,82.92,15,5,0.2,No,No,
2019-05-20,Children's Productive Cough Syrup,6,5.85,35.1,8,3,1.4,No,No,
2019-05-20,Children's Dry Cough Syrup,11,6.03,66.33,12,1,1.7,No,No,
2019-05-20,Cough Lozenges,24,3.27,78.48,35,15,0.8,No,No,
2019-05-20,Antibiotic Prescriptions,15,8.71,130.65,17,3,0.9,No,No,
2019-05-20,Vitamins & Supplements,20,11.91,238.2,29,10,0.9,No,No,
2019-05-20,Simple Masks,10,0.67,6.7,11,1,1.4,No,No,
2019-05-20,KN95/FFP2 Masks,7,1.37,9.59,9,2,0.6,No,No,
2019-05-20,Antiseptic / Alcohol,11,4.24,46.64,14,5,0.4,No,No,
2019-05-20,Hand Gloves,5,5.71,28.55,6,2,1.3,No,No,
2019-05-20,COVID Self Tests,0,4.75,0.0,3,3,0.5,No,No,
2019-05-20,Pharmacy COVID Test Service,0,15.61,0.0,3,3,1.1,No,No,
2019-05-27,Adult Productive Cough Syrup,15,6.68,100.2,18,5,0.7,No,No,
2019-05-27,Adult Dry Cough Syrup,16,6.94,111.04,21,5,0.1,No,No,
2019-05-27,Children's Productive Cough Syrup,8,6.1,48.8,11,4,1.5,No,No,
2019-05-27,Children's Dry Cough Syrup,8,6.47,51.76,10,3,0.7,No,No,
2019-05-27,Cough Lozenges,27,3.16,85.32,33,7,1.5,No,No,
2019-05-27,Antibiotic Prescriptions,18,8.32,149.76,24,8,0.6,No,No,
2019-05-27,Vitamins & Supplements,29,11.87,344.23,31,5,0.9,No,No,
2019-05-27,Simple Masks,10,0.64,6.4,16,8,1.0,No,No,
2019-05-27,KN95/FFP2 Masks,8,1.34,10.72,9,2,0.7,No,No,
2019-05-27,Antiseptic / Alcohol,10,4.07,40.7,13,3,0.5,No,No,
2019-05-27,Hand Gloves,2,5.69,11.38,3,1,0.4,No,Yes,
2019-05-27,COVID Self Tests,0,4.9,0.0,3,3,0.2,No,No,
2019-05-27,Pharmacy COVID Test Service,1,14.76,14.76,3,2,0.6,Yes,No,
2019-06-03,Adult Productive Cough Syrup,15,6.67,100.05,24,12,1.0,No,No,
2019-06-03,Adult Dry Cough Syrup,12,7.02,84.24,13,2,0.1,No,No,
2019-06-03,Children's Productive Cough Syrup,7,6.19,43.33,9,3,1.1,No,No,
2019-06-03,Children's Dry Cough Syrup,10,6.1,61.0,11,2,1.0,No,No,
2019-06-03,Cough Lozenges,21,3.21,67.41,23,3,0,No,No,
2019-06-03,Antibiotic Prescriptions,11,8.67,95.37,17,9,1.0,No,No,
2019-06-03,Vitamins & Supplements,9,11.12,100.08,12,4,0.3,No,No,
2019-06-03,Simple Masks,11,0.67,7.37,12,2,0.8,No,No,
2019-06-03,KN95/FFP2 Masks,5,1.41,7.05,7,2,0.7,No,No,
2019-06-03,Antiseptic / Alcohol,8,4.35,34.8,13,7,0,No,No,
2019-06-03,Hand Gloves,5,5.28,26.4,8,4,0,No,No,
2019-06-03,COVID Self Tests,0,4.8,0.0,3,3,1.9,No,No,
2019-06-03,Pharmacy COVID Test Service,0,14.48,0.0,3,3,1.1,No,No,
2019-06-10,Adult Productive Cough Syrup,14,7.08,99.12,14,1,1.5,No,No,
2019-06-10,Adult Dry Cough Syrup,12,7.16,85.92,13,2,1.3,No,No,
2019-06-10,Children's Productive Cough Syrup,7,5.7,39.9,8,1,0.7,No,No,
2019-06-10,Children's Dry Cough Syrup,7,6.13,42.91,10,5,0.9,No,No,
2019-06-10,Cough Lozenges,22,3.26,71.72,24,6,0.6,No,No,
2019-06-10,Antibiotic Prescriptions,10,8.71,87.1,13,4,0.8,No,No,
2019-06-10,Vitamins & Supplements,17,11.75,199.75,18,2,0.6,No,No,
2019-06-10,Simple Masks,10,0.66,6.6,16,8,0.7,No,No,
2019-06-10,KN95/FFP2 Masks,5,1.37,6.85,8,3,0.4,No,No,
2019-06-10,Antiseptic / Alcohol,9,4.28,38.52,10,3,0.3,No,No,
2019-06-10,Hand Gloves,5,5.68,28.4,6,2,0.8,No,No,
2019-06-10,COVID Self Tests,0,4.87,0.0,3,3,1.2,No,No,
2019-06-10,Pharmacy COVID Test Service,0,15.7,0.0,3,3,1.1,No,No,
2019-06-17,Adult Productive Cough Syrup,13,6.86,89.18,15,4,0.8,No,No,
2019-06-17,Adult Dry Cough Syrup,13,7.42,96.46,15,3,1.0,No,No,
2019-06-17,Children's Productive Cough Syrup,9,6.0,54.0,12,3,0.2,No,No,
2019-06-17,Children's Dry Cough Syrup,6,6.46,38.76,8,3,1.3,No,No,
2019-06-17,Cough Lozenges,18,3.2,57.6,23,6,0.6,No,No,
2019-06-17,Antibiotic Prescriptions,12,8.17,98.04,19,9,1.3,No,No,
2019-06-17,Vitamins & Supplements,16,11.3,180.8,24,9,0.7,No,No,
2019-06-17,Simple Masks,9,0.68,6.12,12,4,1.1,No,No,
2019-06-17,KN95/FFP2 Masks,7,1.38,9.66,9,2,0.7,No,No,
2019-06-17,Antiseptic / Alcohol,5,4.35,21.75,8,4,0.6,No,No,
2019-06-17,Hand Gloves,4,5.32,21.28,5,2,1.7,No,Yes,
2019-06-17,COVID Self Tests,0,4.93,0.0,3,3,0.5,No,No,
2019-06-17,Pharmacy COVID Test Service,0,14.56,0.0,3,3,0,No,No,
2019-06-24,Adult Productive Cough Syrup,16,6.95,111.2,19,3,0.2,No,No,
2019-06-24,Adult Dry Cough Syrup,13,7.11,92.43,14,3,0.6,No,No,
2019-06-24,Children's Productive Cough Syrup,8,6.15,49.2,10,3,0,No,No,
2019-06-24,Children's Dry Cough Syrup,9,6.08,54.72,11,3,1.0,No,No,
2019-06-24,Cough Lozenges,24,3.11,74.64,35,12,0.8,No,No,
2019-06-24,Antibiotic Prescriptions,12,8.65,103.8,15,3,1.5,No,No,
2019-06-24,Vitamins & Supplements,17,11.2,190.4,17,3,1.1,No,No,
2019-06-24,Simple Masks,8,0.66,5.28,13,6,0.6,No,No,
2019-06-24,KN95/FFP2 Masks,5,1.41,7.05,7,3,0.7,No,No,
2019-06-24,Antiseptic / Alcohol,10,4.32,43.2,11,2,1.3,No,No,
2019-06-24,Hand Gloves,5,5.41,27.05,7,3,0,No,No,
2019-06-24,COVID Self Tests,1,4.84,4.84,3,2,0.8,Yes,Yes,COVID-related demand spike
2019-06-24,Pharmacy COVID Test Service,0,14.46,0.0,3,3,0.2,No,No,
2019-07-01,Adult Productive Cough Syrup,19,6.63,125.97,29,11,1.4,No,No,
2019-07-01,Adult Dry Cough Syrup,14,7.08,99.12,18,4,0.7,No,No,
2019-07-01,Children's Productive Cough Syrup,10,5.98,59.8,16,8,0.6,No,No,
2019-07-01,Children's Dry Cough Syrup,5,6.16,30.8,7,2,1.1,No,No,
